CustomerID,Gender,InvoiceNumber,InvoiceDate,ProductID,Quantity,Price,Total,OrderStatus,Country,TrafficSource,SessionDuration,DeviceCategory,Device,OS,DeliveryRating,ProductRating,Sales
9691,Female,26088332,2019-01-01,32,3,91.37,274.11,Completed,India,"Social Media",6.54,Computer,Laptop,Windows,2,5,274.11
8327,Female,95183269,2019-01-01,34,1,48.24,48.24,"In Process",India,"Social Media",5.01,Computer,Desktop,Windows,5,5,0.00
6801,Male,44769684,2019-01-01,64,2,35.23,70.46,Completed,"United States","Paid Advertisment",0.10,Computer,Desktop,Windows,1,2,70.46
4406,Male,12422351,2019-01-02,41,2,32.33,64.66,Completed,Philippines,"Social Media",1.95,Mobile,Tablet,Windows,4,4,64.66
1966,Male,84352310,2019-01-03,20,1,81.89,81.89,Completed,Brazil,"Organic Search",9.15,Computer,Laptop,Windows,5,3,81.89
6148,Male,53293645,2019-01-03,10,3,19.34,58.02,Completed,Egypt,"Organic Search",7.89,Computer,Desktop,Windows,4,5,58.02
4183,Male,22473410,2019-01-04,46,2,9.88,19.76,Completed,Turkey,"Organic Search",1.60,Computer,Laptop,Windows,4,5,19.76
5979,Male,45762453,2019-01-05,79,2,33.28,66.56,"In Process",Japan,"Organic Search",0.11,Computer,Laptop,Windows,5,5,0.00
7656,Male,72918460,2019-01-05,91,3,67.48,202.44,Completed,"United States","Paid Advertisment",8.28,Mobile,"Smart Phone",Windows,5,4,202.44
9953,Male,84161141,2019-01-06,61,2,70.34,140.68,"In Process",Japan,"Social Media",1.61,Computer,Laptop,Windows,3,4,0.00
1817,Female,81218452,2019-01-07,31,3,43.50,130.50,Completed,China,"Social Media",3.53,Computer,Laptop,Windows,3,5,130.50
6653,Male,85161028,2019-01-07,33,2,28.56,57.12,Rejected,"United Kingdom","Paid Advertisment",4.19,Computer,Laptop,Linux,5,4,0.00
5162,Male,32023373,2019-01-08,57,1,13.08,13.08,Completed,"South Korea","Organic Search",6.60,Computer,Desktop,Windows,5,5,13.08
4825,Female,75330542,2019-01-09,97,1,56.74,56.74,Completed,Japan,"Organic Search",4.92,Computer,Laptop,Windows,5,5,56.74
1166,Male,29669465,2019-01-09,22,2,41.48,82.96,Completed,Japan,"Paid Advertisment",8.14,Computer,Desktop,Windows,4,5,82.96
8000,Female,68975681,2019-01-10,84,3,32.88,98.64,"In Process",Brazil,"Social Media",5.78,Computer,Desktop,Windows,5,4,0.00
1712,Male,14535740,2019-01-10,9,1,73.83,73.83,Completed,"United Kingdom","Paid Advertisment",3.47,Computer,Desktop,Windows,5,4,73.83
6399,Male,29415165,2019-01-11,39,3,41.61,124.83,Completed,Russia,"Organic Search",8.45,Computer,Laptop,Windows,4,5,124.83
6379,Male,97024423,2019-01-11,30,2,6.08,12.16,Cancelled,Turkey,"Social Media",8.25,Computer,Desktop,Mac,3,5,0.00
3256,Female,73294466,2019-01-11,43,2,30.66,61.32,Completed,Japan,"Social Media",8.17,Computer,Desktop,Windows,5,3,61.32
7692,Male,98393960,2019-01-12,29,1,1.91,1.91,Completed,China,"Organic Search",2.56,Mobile,"Smart Phone",Android,5,4,1.91
3440,Male,33590014,2019-01-13,15,1,6.32,6.32,Completed,"United Kingdom","Paid Advertisment",0.60,Computer,Desktop,Windows,4,5,6.32
5330,Female,96617596,2019-01-13,56,3,87.34,262.02,Completed,Australia,"Paid Advertisment",3.21,Mobile,"Smart Phone",Windows,5,4,262.02
5663,Female,64683713,2019-01-13,54,1,90.78,90.78,Completed,"Saudi Arabia","Paid Advertisment",0.79,Computer,Desktop,Windows,5,5,90.78
1385,Male,46115974,2019-01-13,96,3,36.96,110.88,Completed,Japan,"Paid Advertisment",6.04,Mobile,"Smart Phone",Android,3,2,110.88
9551,Male,27274542,2019-01-14,61,1,70.34,70.34,Rejected,France,"Organic Search",1.88,Computer,Laptop,Windows,5,3,0.00
8724,Female,23525893,2019-01-14,24,2,99.58,199.16,Completed,"United States","Social Media",0.30,Computer,Laptop,Windows,5,4,199.16
5213,Female,63003930,2019-01-15,12,3,86.11,258.33,Completed,Taiwan,"Social Media",8.71,Computer,Laptop,Windows,5,4,258.33
3313,Male,41087733,2019-01-16,90,2,21.51,43.02,Completed,India,"Paid Advertisment",3.59,Computer,Desktop,Mac,5,4,43.02
4243,Female,78577841,2019-01-17,84,1,32.88,32.88,"In Process","United States","Paid Advertisment",8.09,Computer,Desktop,Windows,5,4,0.00
1356,Male,89821265,2019-01-17,40,3,89.85,269.55,Completed,"Saudi Arabia","Organic Search",8.73,Computer,Laptop,Linux,4,4,269.55
3543,Female,20166192,2019-01-18,24,3,99.58,298.74,"In Process","United States","Paid Advertisment",4.21,Computer,Laptop,Windows,5,2,0.00
5301,Female,33956582,2019-01-18,60,1,91.28,91.28,Completed,"Saudi Arabia","Paid Advertisment",1.71,Computer,Desktop,Windows,4,5,91.28
1847,Female,85343805,2019-01-19,49,3,99.72,299.16,Completed,Indonesia,"Social Media",5.43,Computer,Laptop,Windows,5,4,299.16
8180,Male,89023504,2019-01-19,19,3,13.20,39.60,Completed,"South Korea","Organic Search",2.69,Computer,Desktop,Windows,3,1,39.60
2050,Male,31556200,2019-01-20,69,2,96.47,192.94,Cancelled,"South Korea","Organic Search",5.42,Mobile,Tablet,Windows,5,5,0.00
6670,Male,35445083,2019-01-20,9,3,73.83,221.49,Completed,Argentina,"Social Media",3.22,Mobile,"Smart Phone",Windows,5,4,221.49
1919,Female,50539359,2019-01-21,23,3,95.72,287.16,Completed,Italy,"Social Media",7.98,Computer,Desktop,Mac,5,3,287.16
1972,Male,24547944,2019-01-21,17,2,18.86,37.72,"In Process",Russia,"Organic Search",6.54,Computer,Desktop,Mac,3,5,0.00
2396,Female,71200221,2019-01-22,10,1,19.34,19.34,Completed,Japan,"Organic Search",4.28,Computer,Desktop,Mac,4,5,19.34
9792,Female,46052212,2019-01-23,60,2,91.28,182.56,Completed,China,"Organic Search",0.74,Computer,Laptop,Windows,5,4,182.56
7118,Female,73826943,2019-01-23,76,3,76.67,230.01,"In Process",Russia,"Paid Advertisment",0.65,Mobile,Tablet,Windows,5,4,0.00
1990,Female,91309063,2019-01-24,85,1,68.31,68.31,Completed,China,"Organic Search",8.32,Computer,Desktop,Windows,4,5,68.31
6002,Male,92733022,2019-01-24,97,2,56.74,113.48,"In Process",Canada,"Social Media",8.46,Computer,Laptop,Windows,4,3,0.00
5822,Female,81706166,2019-01-25,24,1,99.58,99.58,Cancelled,Turkey,"Social Media",3.83,Computer,Desktop,Windows,5,4,0.00
8837,Male,79074150,2019-01-26,61,2,70.34,140.68,Completed,"United States","Organic Search",0.20,Computer,Desktop,Windows,5,5,140.68
2437,Male,94518091,2019-01-26,8,1,67.18,67.18,Cancelled,Italy,"Organic Search",3.94,Mobile,"Smart Phone",Android,4,5,0.00
1457,Female,11512793,2019-01-26,75,2,32.34,64.68,"In Process",India,"Organic Search",4.94,Computer,Desktop,Windows,5,5,0.00
3446,Female,36215549,2019-01-26,67,2,17.22,34.44,Completed,Germany,"Organic Search",3.12,Mobile,Tablet,Android,3,3,34.44
1784,Female,93398915,2019-01-26,18,1,1.97,1.97,Completed,France,"Organic Search",6.01,Computer,Desktop,Mac,5,3,1.97
8735,Male,39689144,2019-01-27,11,2,4.31,8.62,"In Process",Brazil,"Paid Advertisment",8.61,Computer,Desktop,Linux,3,4,0.00
6952,Male,49336199,2019-01-27,23,1,95.72,95.72,"In Process",Taiwan,"Organic Search",0.10,Computer,Desktop,Mac,5,5,0.00
9816,Female,83768533,2019-01-27,98,1,85.04,85.04,Completed,"United States","Organic Search",4.87,Computer,Desktop,Windows,5,4,85.04
4049,Female,96649574,2019-01-28,94,1,17.63,17.63,Cancelled,Egypt,"Organic Search",9.77,Computer,Desktop,Windows,4,3,0.00
1395,Male,17352662,2019-01-28,9,3,73.83,221.49,Completed,"United Kingdom","Organic Search",2.74,Mobile,Tablet,Windows,5,3,221.49
7936,Male,29489662,2019-01-29,25,2,11.29,22.58,Rejected,France,"Social Media",0.09,Computer,Laptop,Windows,3,5,0.00
2609,Female,37211927,2019-01-29,19,2,13.20,26.40,"In Process","United States","Social Media",2.19,Mobile,Tablet,Windows,4,5,0.00
2495,Male,50599444,2019-01-30,21,3,98.91,296.73,Completed,China,"Organic Search",2.21,Mobile,Tablet,Windows,4,3,296.73
4592,Male,41719113,2019-01-31,27,3,72.93,218.79,Completed,France,"Organic Search",8.99,Computer,Desktop,Windows,5,5,218.79
6440,Female,11529780,2019-01-31,4,2,32.43,64.86,Completed,Taiwan,"Organic Search",6.09,Mobile,"Smart Phone",Android,5,3,64.86
8919,Male,54575778,2019-02-01,4,3,32.43,97.29,"In Process",China,"Organic Search",8.01,Computer,Laptop,Windows,5,2,0.00
7211,Male,93139178,2019-02-01,47,2,64.64,129.28,"In Process",Australia,"Social Media",8.31,Mobile,"Smart Phone",Android,5,5,0.00
5189,Male,18189745,2019-02-01,85,1,68.31,68.31,Completed,France,"Organic Search",0.82,Mobile,Tablet,Android,4,5,68.31
3360,Female,46806659,2019-02-01,9,2,73.83,147.66,Cancelled,Japan,"Paid Advertisment",0.19,Computer,Desktop,Windows,5,5,0.00
9523,Male,85394637,2019-02-02,29,2,1.91,3.82,"In Process","United States","Organic Search",7.74,Mobile,"Smart Phone",Android,3,2,0.00
9281,Female,43930998,2019-02-02,79,3,33.28,99.84,Completed,Russia,"Organic Search",0.71,Computer,Laptop,Windows,4,4,99.84
2844,Female,98343421,2019-02-03,62,2,81.46,162.92,Completed,"United Kingdom","Organic Search",3.32,Computer,Desktop,Windows,5,5,162.92
3761,Male,90393819,2019-02-04,80,1,77.64,77.64,Completed,Taiwan,"Organic Search",0.78,Computer,Laptop,Linux,5,5,77.64
